,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Revuca,48.6835,20.1173,41.86,broken clouds,96,67,2.98,SK
80,Nanortalik,60.1432,-45.2371,22.57,broken clouds,62,61,3.94,GL
81,Saint-Philippe,-21.3585,55.7679,76.59,overcast clouds,79,98,7.49,RE
82,Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.99,broken clouds,100,75,6.71,RU
83,Asau,46.4333,26.4,34.72,broken clouds,89,56,6.11,RO
84,Katobu,-4.9408,122.5276,75.18,moderate rain,91,95,1.52,ID
85,Road Town,18.4167,-64.6167,78.89,broken clouds,78,75,13.8,VG
86,Concordia,-31.393,-58.0209,87.87,few clouds,43,20,8.01,AR
87,Teya,60.3778,92.6267,-7.6,overcast clouds,98,87,1.12,RU
88,Tuktoyaktuk,69.4541,-133.0374,-31.0,mist,68,75,14.97,CA
89,Bengkulu,-3.8004,102.2655,77.54,heavy intensity rain,76,100,6.89,ID
90,Iqaluit,63.7506,-68.5145,-16.31,few clouds,62,20,12.66,CA
91,Teguise,29.0605,-13.564,70.02,overcast clouds,40,94,4.61,ES
92,Zhanaozen,43.3,52.8,37.33,broken clouds,63,59,22.28,KZ
93,Olds,51.7834,-114.102,44.83,overcast clouds,56,100,6.91,CA
94,Saskylakh,71.9167,114.0833,-9.72,scattered clouds,96,39,7.29,RU
95,Tilichiki,60.4667,166.1,-19.32,few clouds,84,19,7.76,RU
96,Hilo,19.7297,-155.09,71.26,overcast clouds,92,100,8.05,US
97,Butaritari,3.0707,172.7902,81.64,overcast clouds,78,100,15.86,KI
98,Krasnobrodskiy,54.1581,86.4486,-16.49,broken clouds,100,52,3.24,RU
99,Richards Bay,-28.783,32.0377,72.66,clear sky,84,0,0.98,ZA
100,Sept-Iles,50.2001,-66.3821,36.12,broken clouds,80,75,8.05,CA
101,Cabo San Lucas,22.8909,-109.9124,79.61,clear sky,40,0,3.0,MX
102,Port Hardy,50.6996,-127.4199,46.76,light rain,93,100,12.66,CA
103,Bapatla,15.9,80.4667,70.95,few clouds,78,21,7.76,IN
104,Bethel,41.3712,-73.414,45.28,clear sky,52,0,8.05,US
105,Otane,-39.8833,176.6333,68.02,overcast clouds,99,99,2.21,NZ
106,Kaitangata,-46.2817,169.8464,58.6,overcast clouds,99,100,9.31,NZ
